Timestamp,activity_label,accX,accY,accZ,gyroX,gyroY,gyroZ
2025-08-02 17:12:54 ,sitting,0.85,0.85,-2.2,0.34,0.24
2025-08-02 17:12:54 ,sitting,0.27,0.85,0.85,-2.29,0.15,0.4
2025-08-02 17:12:54 ,sitting,0.27,0.85,0.85,-2.38,-0.06,0.49
2025-08-02 17:12:54 ,sitting,0.27,0.85,0.85,-2.26,0.1,0.03
2025-08-02 17:12:54 ,sitting,0.27,0.85,0.85,-2.2,0.34,0.24
2025-08-02 17:12:54 ,sitting,0.27,0.85,0.85,-2.29,0.15,0.4
2025-08-02 17:12:54 ,sitting,0.27,0.85,0.85,-2.38,-0.06,0.49
2025-08-02 17:12:54 ,sitting,0.27,0.85,0.85,-2.2,0.34,0.24
2025-08-02 17:12:54 ,sitting,0.27,0.85,0.85,-2.29,0.15,0.4
2025-08-02 17:12:54 ,sitting,0.27,0.85,0.85,-2.38,-0.06,0.49
2025-08-02 17:12:54 ,sitting,0.27,0.85,0.85,-2.26,0.15,0.52
2025-08-02 17:12:54 ,sitting,0.27,0.85,0.85,-2.47,0.27,0.43
2025-08-02 17:12:54 ,sitting,0.27,0.85,0.85,-2.47,0.46,0.37
2025-08-02 17:12:54 ,sitting,0.28,0.85,0.85,-2.35,0.24,0.34
2025-08-02 17:12:54 ,sitting,0.27,0.85,0.85,-2.44,0.12,0.49
2025-08-02 17:12:54 ,sitting,0.27,0.85,0.85,-2.5,-0.03,0.46
2025-08-02 17:12:54 ,sitting,0.27,0.85,0.85,-2.01,-0.09,0.37
2025-08-02 17:12:54 ,sitting,0.27,0.85,0.85,-2.14,-0.06,0.27
2025-08-02 17:12:54 ,sitting,0.27,0.85,0.85,-1.59,0.34,0.12
2025-08-02 17:12:54 ,sitting,0.27,0.84,0.84,-1.59,0.34,0.06
2025-08-02 17:12:54 ,sitting,0.27,0.84,0.84,-1.83,0.55,0.06
2025-08-02 17:12:54 ,sitting,0.27,0.85,0.85,-1.92,0.43,0.12
2025-08-02 17:12:54 ,sitting,0.27,0.85,0.85,-1.83,0.49,0.12
2025-08-02 17:12:54 ,sitting,0.27,0.85,0.85,-2.04,0.31,0.34
2025-08-02 17:12:54 ,sitting,0.27,0.84,0.84,-1.98,0.31,0.52
2025-08-02 17:12:54 ,sitting,0.27,0.85,0.85,-2.29,-0.03,0.58
2025-08-02 17:12:54 ,sitting,0.27,0.84,0.84,-2.72,0.18,0.61
2025-08-02 17:12:54 ,sitting,0.27,0.85,0.85,-2.87,0.15,0.52
2025-08-02 17:12:54 ,sitting,0.27,0.85,0.85,-3.11,0.12,0.76
2025-08-02 17:12:54 ,sitting,0.27,0.85,0.85,-2.84,0.15,0.64
2025-08-02 17:12:55 ,sitting,0.27,0.85,0.85,-2.62,0.34,0.43
2025-08-02 17:12:55 ,sitting,0.27,0.84,0.84,-2.78,0.52,0.15
2025-08-02 17:12:55 ,sitting,0.27,0.84,0.84,-2.59,0.67,0.24
2025-08-02 17:12:55 ,sitting,0.27,0.85,0.85,-2.5,0.58,0.43
2025-08-02 17:12:55 ,sitting,0.27,0.85,0.85,-2.5,0.34,0.4
2025-08-02 17:12:55 ,sitting,0.27,0.84,0.84,-2.38,0.46,0.52
2025-08-02 17:12:55 ,sitting,0.27,0.85,0.85,-2.32,0.49,0.34
2025-08-02 17:12:55 ,sitting,0.27,0.85,0.85,-2.14,0.61,0.27
2025-08-02 17:12:55 ,sitting,0.27,0.85,0.85,-2.2,0.58,0.34
2025-08-02 17:12:55 ,sitting,0.27,0.84,0.84,-2.32,0.61,0.24
2025-08-02 17:12:55 ,sitting,0.27,0.85,0.85,-2.26,0.76,0.31
2025-08-02 17:12:55 ,sitting,0.27,0.85,0.85,-2.35,0.61,0.43
2025-08-02 17:12:55 ,sitting,0.27,0.85,0.85,-2.29,0.55,0.43
2025-08-02 17:12:55 ,sitting,0.27,0.85,0.85,-2.26,0.52,0.31
2025-08-02 17:12:55 ,sitting,0.27,0.85,0.85,-2.2,0.55,0.37
2025-08-02 17:12:55 ,sitting,0.27,0.85,0.85,-2.35,0.52,0.31
2025-08-02 17:12:55 ,sitting,0.27,0.85,0.85,-2.62,0.79,0.34
2025-08-02 17:12:55 ,sitting,0.27,0.85,0.85,-2.69,0.49,0.4
2025-08-02 17:12:55 ,sitting,0.27,0.85,0.85,-2.47,0.31,0.49
2025-08-02 17:12:55 ,sitting,0.27,0.85,0.85,-2.66,0.34,0.49
2025-08-02 17:12:55 ,sitting,0.27,0.85,0.85,-2.35,0.49,0.31
2025-08-02 17:12:55 ,sitting,0.27,0.84,0.84,-2.44,0.55,0.4
2025-08-02 17:12:55 ,sitting,0.27,0.85,0.85,-2.38,0.58,0.31
2025-08-02 17:12:55 ,sitting,0.27,0.85,0.85,-2.32,0.55,0.34
2025-08-02 17:12:55 ,sitting,0.27,0.85,0.85,-2.23,0.37,0.49
2025-08-02 17:12:55 ,sitting,0.27,0.85,0.85,-2.47,0.37,0.49
2025-08-02 17:12:55 ,sitting,0.27,0.85,0.85,-2.17,0.43,0.43
2025-08-02 17:12:55 ,sitting,0.27,0.85,0.85,-2.23,0.52,0.4
2025-08-02 17:12:55 ,sitting,0.27,0.85,0.85,-2.2,0.61,0.24
2025-08-02 17:12:55 ,sitting,0.27,0.84,0.84,-2.26,0.52,0.21
2025-08-02 17:12:56 ,sitting,0.27,0.85,0.85,-2.29,0.61,0.21
2025-08-02 17:12:56 ,sitting,0.27,0.85,0.85,-2.26,0.64,0.4
2025-08-02 17:12:56 ,sitting,0.27,0.84,0.84,-2.32,0.55,0.4
