Timestamp,activity_label,accX,accY,accZ,gyroX,gyroY,gyroZ
2025-08-16 18:59:24 ,squating,0.66,85.0,50.45,-65.61
2025-08-16 18:59:24 ,squating,0.25,0.23,0.23,-50.2,0.55,0.55,-87.92,64.06,-102.97
2025-08-16 18:59:24 ,squating,-0.19,0.08,0.08,-90.94,-52.09,26.37
2025-08-16 18:59:24 ,squating,-0.14,0.49,0.49,-16.85,50.45,-65.61
2025-08-16 18:59:24 ,squating,0.25,0.23,0.23,-51.64,32.29,3.72
2025-08-16 18:59:24 ,squating,-0.31,0.3,0.3,-51.3,-6.29,35.25
2025-08-16 18:59:24 ,squating,-0.27,0.27,0.27,-55.05,3.81,-12.12
2025-08-16 18:59:24 ,squating,-0.27,0.36,0.36,-52.03,-1.07,-39.34
2025-08-16 18:59:24 ,squating,-0.04,0.43,0.43,-56.12,22.61,-40.86
2025-08-16 18:59:24 ,squating,0.04,0.5,0.5,-57.37,-4.24,4.18
2025-08-16 18:59:24 ,squating,-0.23,0.52,0.52,-73.36,-20.84,10.99
2025-08-16 18:59:24 ,squating,-0.12,0.52,0.52,-76.2,-21.61,9.0
2025-08-16 18:59:24 ,squating,-0.24,0.49,0.49,-63.02,-10.74,5.34
2025-08-16 18:59:24 ,squating,-0.2,0.56,0.56,-66.07,8.54,-20.9
2025-08-16 18:59:24 ,squating,-0.14,0.65,0.65,-66.71,3.81,-5.07
2025-08-16 18:59:24 ,squating,-0.2,0.62,0.62,-71.75,-20.08,3.08
2025-08-16 18:59:24 ,squating,-0.23,0.71,0.71,-73.46,-3.75,-7.93
2025-08-16 18:59:24 ,squating,-0.12,0.79,0.79,-61.28,-10.59,-9.64
2025-08-16 18:59:24 ,squating,-0.18,0.77,0.77,-66.41,-12.85,-4.33
2025-08-16 18:59:24 ,squating,-0.17,0.82,0.82,-64.7,-13.15,-6.32
2025-08-16 18:59:24 ,squating,-0.2,0.82,0.82,-62.1,-12.85,-6.65
2025-08-16 18:59:24 ,squating,-0.21,0.93,0.93,-69.06,-19.71,-4.18
2025-08-16 18:59:24 ,squating,-0.15,0.9,0.9,-62.38,-31.62,10.38
2025-08-16 18:59:24 ,squating,-0.29,1.02,1.02,-48.13,-20.97,-7.02
2025-08-16 18:59:24 ,squating,-0.24,1.03,1.03,-46.39,-14.74,-8.06
2025-08-16 18:59:24 ,squating,-0.26,1.0,1.0,-44.07,-18.07,-3.33
2025-08-16 18:59:24 ,squating,-0.3,1.0,1.0,-36.83,-14.31,-2.5
2025-08-16 18:59:25 ,squating,-0.24,0.99,0.99,-29.63,-16.78,-2.32
2025-08-16 18:59:25 ,squating,-0.25,1.01,1.01,-30.91,-21.39,5.8
2025-08-16 18:59:25 ,squating,-0.29,0.95,0.95,-22.74,-14.86,2.04
2025-08-16 18:59:25 ,squating,-0.26,0.98,0.98,-20.84,-10.19,-3.88
2025-08-16 18:59:25 ,squating,-0.23,1.0,1.0,-17.61,-2.75,-4.21
2025-08-16 18:59:25 ,squating,-0.26,1.04,1.04,-14.47,-1.77,-4.88
2025-08-16 18:59:25 ,squating,-0.28,1.07,1.07,-7.17,4.91,-5.4
2025-08-16 18:59:25 ,squating,-0.24,1.14,1.14,-0.76,7.51,-6.13
2025-08-16 18:59:25 ,squating,-0.24,1.18,1.18,11.54,17.49,-5.77
2025-08-16 18:59:25 ,squating,-0.27,1.17,1.17,30.85,28.96,0.31
2025-08-16 18:59:25 ,squating,-0.33,1.25,1.25,49.65,37.54,3.54
2025-08-16 18:59:25 ,squating,-0.25,1.3,1.3,71.35,38.36,8.91
2025-08-16 18:59:25 ,squating,-0.26,1.1,1.1,89.17,43.18,14.34
2025-08-16 18:59:25 ,squating,-0.18,0.85,0.85,116.73,49.59,13.34
2025-08-16 18:59:25 ,squating,-0.2,0.83,0.83,117.13,47.7,12.12
2025-08-16 18:59:25 ,squating,-0.22,0.79,0.79,112.37,41.66,6.23
2025-08-16 18:59:25 ,squating,-0.19,0.75,0.75,99.4,31.34,-5.83
2025-08-16 18:59:25 ,squating,-0.17,0.73,0.73,103.21,18.1,-16.57
2025-08-16 18:59:25 ,squating,-0.1,0.68,0.68,106.35,4.12,-19.44
2025-08-16 18:59:25 ,squating,-0.18,0.59,0.59,81.45,-11.05,-5.52
2025-08-16 18:59:25 ,squating,-0.13,0.53,0.53,84.75,-10.8,-6.23
2025-08-16 18:59:25 ,squating,-0.11,0.51,0.51,85.51,-6.29,0.82
2025-08-16 18:59:25 ,squating,-0.11,0.43,0.43,72.3,-12.48,14.5
2025-08-16 18:59:25 ,squating,-0.11,0.47,0.47,85.88,-11.78,0.4
2025-08-16 18:59:25 ,squating,-0.05,0.23,0.23,99.09,-13.0,19.53
2025-08-16 18:59:25 ,squating,-0.19,0.2,0.2,90.52,-16.39,13.76
2025-08-16 18:59:25 ,squating,-0.13,0.12,0.12,111.18,-8.58,0.49
2025-08-16 18:59:26 ,squating,-0.21,0.03,0.03,99.7,-14.86,6.26
