Timestamp,activity_label,accX,accY,accZ,gyroX,gyroY,gyroZ
2025-07-27 23:21:24 ,walking,-0.24,0.0,0.98,-2.5,0.12,0.67
2025-07-27 23:21:24 ,walking,-0.24,-0.0,0.98,-2.75,0.18,0.43
2025-07-27 23:21:24 ,walking,-0.24,-0.0,0.98,-2.32,0.12,0.55
2025-07-27 23:21:24 ,walking,-0.24,-0.0,0.98,-2.38,0.18,0.61
2025-07-27 23:21:24 ,walking,-0.24,-0.0,0.98,-2.75,0.43,0.49
2025-07-27 23:21:24 ,walking,-0.24,-0.0,0.98,-2.26,0.12,0.55
2025-07-27 23:21:24 ,walking,-0.24,-0.0,0.98,-2.44,0.18,0.55
2025-07-27 23:21:24 ,walking,-0.24,0.0,0.98,-2.56,0.31,0.49
2025-07-27 23:21:24 ,walking,-0.24,-0.0,0.98,-2.44,-0.18,0.55
2025-07-27 23:21:24 ,walking,-0.24,-0.0,0.98,-2.69,0.55,0.67
2025-07-27 23:21:24 ,walking,-0.24,0.0,0.98,-2.44,0.0,0.49
2025-07-27 23:21:24 ,walking,-0.24,0.0,0.98,-2.26,0.12,0.55
2025-07-27 23:21:24 ,walking,-0.24,-0.0,0.98,-2.69,0.0,0.61
2025-07-27 23:21:24 ,walking,-0.24,-0.0,0.98,-2.5,0.37,0.55
2025-07-27 23:21:24 ,walking,-0.24,0.0,0.98,-2.38,0.31,0.55
2025-07-27 23:21:24 ,walking,-0.24,-0.0,0.98,-2.62,0.24,0.43
2025-07-27 23:21:24 ,walking,-0.24,-0.0,0.98,-2.5,0.24,0.49
2025-07-27 23:21:24 ,walking,-0.24,-0.0,0.98,-2.26,0.37,0.49
2025-07-27 23:21:24 ,walking,-0.24,0.0,0.98,-2.69,0.49,0.55
2025-07-27 23:21:24 ,walking,-0.24,-0.0,0.98,-2.81,0.06,0.43
2025-07-27 23:21:24 ,walking,-0.24,-0.0,0.98,-2.44,0.37,0.37
2025-07-27 23:21:24 ,walking,-0.24,-0.0,0.98,-2.56,0.43,0.55
2025-07-27 23:21:24 ,walking,-0.24,-0.0,0.98,-2.5,0.55,0.49
2025-07-27 23:21:24 ,walking,-0.24,-0.0,0.98,-2.5,0.24,0.43
2025-07-27 23:21:24 ,walking,-0.24,-0.0,0.98,-2.32,0.24,0.37
2025-07-27 23:21:24 ,walking,-0.24,-0.0,0.98,-2.38,0.12,0.55
2025-07-27 23:21:24 ,walking,-0.24,-0.0,0.98,-2.32,0.31,0.37
2025-07-27 23:21:24 ,walking,-0.24,0.0,0.98,-2.81,0.18,0.49
2025-07-27 23:21:24 ,walking,-0.24,-0.0,0.98,-2.75,0.0,0.49
2025-07-27 23:21:24 ,walking,-0.24,0.0,0.98,-2.44,0.31,0.49
2025-07-27 23:21:24 ,walking,-0.24,-0.0,0.98,-2.56,0.31,0.55
2025-07-27 23:21:24 ,walking,-0.24,-0.0,0.98,-2.38,0.12,0.43
