Timestamp,activity_label,accX,accY,accZ,gyroX,gyroY,gyroZ
2025-08-16 09:51:39 ,standing,0.18,-0.18,-2.53,1.95,-1.07
2025-08-16 09:51:39 ,standing,0.05,-0.19,-0.19,-3.97,0.92,-1.13
2025-08-16 09:51:39 ,standing,0.05,-0.2,-0.2,-2.69,0.7,0.79
2025-08-16 09:51:39 ,standing,0.05,-0.18,-0.18,-0.7,1.53,0.31
2025-08-16 09:51:39 ,standing,0.06,-0.2,-0.2,-1.59,0.85,0.85
2025-08-16 09:51:39 ,standing,0.04,-0.2,-0.2,-1.65,-0.03,3.57
2025-08-16 09:51:39 ,standing,0.04,-0.19,-0.19,-2.35,0.49,1.34
2025-08-16 09:51:39 ,standing,0.05,-0.2,-0.2,-1.8,0.73,1.56
2025-08-16 09:51:39 ,standing,0.05,-0.2,-0.2,-1.56,0.4,3.23
2025-08-16 09:51:39 ,standing,0.04,-0.2,-0.2,-2.47,0.73,1.34
2025-08-16 09:51:39 ,standing,0.05,-0.2,-0.2,-2.96,0.64,1.92
2025-08-16 09:51:39 ,standing,0.04,-0.21,-0.21,-2.72,0.85,1.19
2025-08-16 09:51:39 ,standing,0.05,-0.2,-0.2,-2.66,0.15,1.86
2025-08-16 09:51:39 ,standing,0.04,-0.19,-0.19,-2.38,0.67,1.04
2025-08-16 09:51:39 ,standing,0.05,-0.19,-0.19,-2.2,0.37,1.46
2025-08-16 09:51:39 ,standing,0.06,-0.19,-0.19,-1.46,1.1,1.59
2025-08-16 09:51:39 ,standing,0.05,-0.2,-0.2,-1.92,0.4,3.05
2025-08-16 09:51:39 ,standing,0.04,-0.2,-0.2,-3.42,0.24,2.96
2025-08-16 09:51:39 ,standing,0.05,-0.21,-0.21,-3.78,0.67,1.65
2025-08-16 09:51:39 ,standing,0.05,-0.2,-0.2,-4.06,0.46,1.86
2025-08-16 09:51:39 ,standing,0.05,-0.2,-0.2,-3.75,0.58,1.95
2025-08-16 09:51:39 ,standing,0.05,-0.21,-0.21,-2.35,1.01,1.53
2025-08-16 09:51:40 ,standing,0.05,-0.2,-0.2,-1.92,0.61,1.46
2025-08-16 09:51:40 ,standing,0.05,-0.2,-0.2,-2.56,-0.24,2.78
2025-08-16 09:51:40 ,standing,0.05,-0.21,-0.21,-1.01,1.01,1.95
2025-08-16 09:51:40 ,standing,0.06,-0.2,-0.2,-0.27,0.82,2.62
2025-08-16 09:51:40 ,standing,0.05,-0.21,-0.21,-2.08,0.06,1.56
2025-08-16 09:51:40 ,standing,0.05,-0.21,-0.21,-2.2,0.85,-0.37
2025-08-16 09:51:40 ,standing,0.06,-0.21,-0.21,-2.47,1.22,-0.7
2025-08-16 09:51:40 ,standing,0.05,-0.21,-0.21,-2.23,1.01,0.21
2025-08-16 09:51:40 ,standing,0.04,-0.2,-0.2,-2.56,1.46,-1.37
2025-08-16 09:51:40 ,standing,0.04,-0.2,-0.2,-3.69,0.58,-1.07
2025-08-16 09:51:40 ,standing,0.05,-0.2,-0.2,-2.56,1.86,-1.83
2025-08-16 09:51:40 ,standing,0.05,-0.2,-0.2,-2.75,1.22,-0.79
2025-08-16 09:51:40 ,standing,0.05,-0.2,-0.2,-3.88,0.43,-0.4
2025-08-16 09:51:40 ,standing,0.05,-0.2,-0.2,-3.27,1.04,-0.67
2025-08-16 09:51:40 ,standing,0.05,-0.2,-0.2,-3.23,1.19,0.03
2025-08-16 09:51:40 ,standing,0.05,-0.21,-0.21,-3.08,1.22,-0.24
2025-08-16 09:51:40 ,standing,0.05,-0.21,-0.21,-3.05,1.43,-1.62
2025-08-16 09:51:40 ,standing,0.06,-0.2,-0.2,-2.96,1.22,-2.08
2025-08-16 09:51:40 ,standing,0.06,-0.2,-0.2,-3.02,1.46,-1.83
2025-08-16 09:51:40 ,standing,0.06,-0.2,-0.2,-2.69,1.5,-1.43
2025-08-16 09:51:40 ,standing,0.06,-0.19,-0.19,-2.14,1.37,0.46
2025-08-16 09:51:40 ,standing,0.05,-0.2,-0.2,-1.98,0.85,0.7
2025-08-16 09:51:40 ,standing,0.05,-0.2,-0.2,-2.41,1.13,-0.15
2025-08-16 09:51:40 ,standing,0.06,-0.2,-0.2,-2.84,0.82,-0.52
2025-08-16 09:51:40 ,standing,0.06,-0.19,-0.19,-3.72,0.06,0.49
2025-08-16 09:51:40 ,standing,0.05,-0.2,-0.2,-3.51,0.34,0.09
2025-08-16 09:51:40 ,standing,0.06,-0.2,-0.2,-3.42,0.49,-0.58
2025-08-16 09:51:40 ,standing,0.06,-0.2,-0.2,-2.99,0.55,-0.31
2025-08-16 09:51:41 ,standing,0.06,-0.2,-0.2,-1.77,0.92,-0.61
