Timestamp,activity_label,accX,accY,accZ,gyroX,gyroY,gyroZ
2025-08-02 13:12:07 ,sitting,0.18,0.87,0.87,-2.56,0.98,-0.15
2025-08-02 13:12:07 ,sitting,0.18,0.87,0.87,-2.29,1.04,-0.24
2025-08-02 13:12:07 ,sitting,0.18,0.86,0.86,-2.29,1.1,-0.21
2025-08-02 13:12:07 ,sitting,0.18,0.86,0.86,-2.23,1.04,-0.31
2025-08-02 13:12:07 ,sitting,0.18,0.86,0.86,-2.41,0.95,-0.18
2025-08-02 13:12:07 ,sitting,0.18,0.86,0.86,-2.56,0.95,-0.12
2025-08-02 13:12:07 ,sitting,0.18,0.87,0.87,-2.5,0.7,0.15
2025-08-02 13:12:07 ,sitting,0.18,0.86,0.86,-2.14,1.01,0.24
2025-08-02 13:12:07 ,sitting,0.2,0.87,0.87,-1.92,0.31,0.7
2025-08-02 13:12:07 ,sitting,0.2,0.86,0.86,-2.32,-0.49,2.17
2025-08-02 13:12:07 ,sitting,0.2,0.87,0.87,-2.35,-0.82,3.27
2025-08-02 13:12:07 ,sitting,0.18,0.85,0.85,-2.99,-1.65,4.21
2025-08-02 13:12:07 ,sitting,0.16,0.87,0.87,-3.45,-1.83,3.48
2025-08-02 13:12:07 ,sitting,0.14,0.87,0.87,-3.36,-1.89,2.08
2025-08-02 13:12:07 ,sitting,0.13,0.86,0.86,-2.29,0.12,-0.73
2025-08-02 13:12:07 ,sitting,0.14,0.86,0.86,-2.01,2.04,-2.9
2025-08-02 13:12:07 ,sitting,0.17,0.86,0.86,-2.11,3.08,-3.75
2025-08-02 13:12:07 ,sitting,0.19,0.86,0.86,-2.17,2.9,-3.02
2025-08-02 13:12:07 ,sitting,0.21,0.86,0.86,-2.81,1.8,-1.19
2025-08-02 13:12:07 ,sitting,0.22,0.87,0.87,-3.54,0.18,1.04
2025-08-02 13:12:07 ,sitting,0.2,0.87,0.87,-3.3,-1.04,3.33
2025-08-02 13:12:07 ,sitting,0.17,0.87,0.87,-2.81,-0.67,3.48
2025-08-02 13:12:07 ,sitting,0.16,0.87,0.87,-2.5,-0.34,2.84
2025-08-02 13:12:07 ,sitting,0.15,0.86,0.86,-1.89,0.18,1.13
2025-08-02 13:12:07 ,sitting,0.15,0.86,0.86,-2.01,0.73,-0.4
2025-08-02 13:12:07 ,sitting,0.17,0.86,0.86,-2.32,0.95,-1.19
2025-08-02 13:12:07 ,sitting,0.18,0.86,0.86,-2.44,0.92,-1.07
2025-08-02 13:12:07 ,sitting,0.2,0.86,0.86,-2.72,0.76,-0.31
2025-08-02 13:12:07 ,sitting,0.2,0.87,0.87,-2.32,0.18,0.55
2025-08-02 13:12:07 ,sitting,0.19,0.87,0.87,-2.38,-0.37,1.74
2025-08-02 13:12:07 ,sitting,0.17,0.87,0.87,-2.62,-0.34,2.38
2025-08-02 13:12:07 ,sitting,0.17,0.86,0.86,-2.66,-0.37,2.08
2025-08-02 13:12:07 ,sitting,0.16,0.87,0.87,-2.56,-0.15,1.5
2025-08-02 13:12:07 ,sitting,0.16,0.86,0.86,-2.35,0.15,0.73
2025-08-02 13:12:07 ,sitting,0.17,0.87,0.87,-2.26,0.37,0.27
2025-08-02 13:12:07 ,sitting,0.17,0.86,0.86,-2.2,0.52,0.03
2025-08-02 13:12:07 ,sitting,0.18,0.87,0.87,-2.38,0.52,0.27
2025-08-02 13:12:07 ,sitting,0.18,0.87,0.87,-2.26,0.31,0.58
2025-08-02 13:12:07 ,sitting,0.18,0.87,0.87,-2.26,0.34,0.76
2025-08-02 13:12:07 ,sitting,0.17,0.86,0.86,-2.41,0.24,0.7
2025-08-02 13:12:07 ,sitting,0.17,0.87,0.87,-2.5,0.21,0.58
2025-08-02 13:12:07 ,sitting,0.17,0.87,0.87,-2.32,0.43,0.34
2025-08-02 13:12:07 ,sitting,0.17,0.86,0.86,-2.26,0.64,0.03
2025-08-02 13:12:07 ,sitting,0.18,0.86,0.86,-2.38,0.7,-0.03
2025-08-02 13:12:07 ,sitting,0.18,0.87,0.87,-2.5,0.34,0.49
2025-08-02 13:12:07 ,sitting,0.18,0.86,0.86,-2.32,0.15,0.67
2025-08-02 13:12:07 ,sitting,0.17,0.87,0.87,-2.32,0.4,0.52
2025-08-02 13:12:07 ,sitting,0.18,0.87,0.87,-2.29,0.27,0.49
2025-08-02 13:12:07 ,sitting,0.17,0.86,0.86,-2.47,0.34,0.52
